,initial,final,next_label
662,43770,43777,6
663,43908,43909,0
664,43918,43957,6
665,43970,43975,6
666,44140,44149,0
667,44158,44223,6
668,44230,44237,6
669,44380,44389,0
670,44398,44438,6
671,44450,44457,6
672,44618,44629,0
673,44635,44641,1
674,44643,44643,1
675,44650,44657,1
676,44664,44669,1
677,44678,44717,5
678,44726,44735,0
679,44737,44757,6
680,44770,44775,6
681,45044,45049,0
682,45058,45097,6
683,45110,45115,6
684,45227,45229,0
685,45238,45677,0
686,45681,45686,1
687,45688,45688,1
688,45690,45694,1
689,45710,45713,1
690,45715,45717,1
691,45778,45789,1
692,45792,45844,1
693,45850,45857,1
694,45898,45909,1
695,45915,46017,6
696,46030,46032,6
697,46078,46089,0
698,46098,46143,6
699,46150,46157,5
700,46328,46329,1
701,46338,46377,5
702,46390,46391,5
703,46401,46409,0
704,46418,46442,6
705,46450,46454,6
706,46573,46573,0
707,46575,46576,0
708,46587,46589,0
709,46598,46618,1
710,46630,46637,1
711,46643,46644,0
712,46658,46669,0
713,46678,46757,6
714,46770,46776,6
715,46858,46869,0
716,46871,46937,6
717,46950,46956,6
718,47081,47089,0
719,47098,47177,5
720,47238,47249,0
721,47256,47277,6
722,47290,47292,6
723,47522,47529,0
724,47538,47597,6
725,47610,47611,6
726,47698,47737,6
727,47750,47750,6
728,47918,47998,6
729,48010,48017,6
730,48229,48229,0
731,48238,48318,6
732,48330,48337,5
733,48504,48509,0
734,48518,48560,5
735,48570,48577,5
736,48643,48649,0
737,48658,48697,5
738,48710,48712,6
739,48878,48889,0
740,48893,48942,6
741,48950,48957,6
742,49088,49089,0
743,49098,49142,6
744,49150,49157,6
745,49345,49349,0
746,49358,49402,6
747,49410,49417,6
748,49623,49629,0
749,49638,49677,5
750,49690,49697,3
751,49819,49829,0
752,49838,49862,5
753,49870,49877,5
754,49921,49929,0
755,49938,49977,6
756,49990,49997,5
757,50124,50129,0
758,50138,50177,6
759,50318,50329,0
760,50334,50359,6
761,50370,50377,5
762,50438,50449,0
763,50451,50468,6
764,50470,50477,6
765,50645,50649,0
766,50658,50697,6
767,50710,50715,6
768,50888,50889,0
769,50898,50939,6
770,50950,50957,6
771,51118,51129,0
772,51134,51157,6
773,51318,51329,0
774,51337,51357,5
775,51370,51371,6
776,51441,51449,0
777,51458,51477,6
778,51490,51494,6
779,51618,51629,0
780,51634,51657,5
781,51670,51671,6
782,51807,51809,0
783,51818,51859,6
784,51870,51877,6
785,52038,52049,0
786,52053,52080,6
787,52090,52097,6
788,52407,52409,3
789,52428,52429,0
790,52438,52468,6
791,52470,52477,6
792,52578,52589,0
793,52594,52617,6
794,52630,52630,6
795,52778,52789,0
796,52795,52817,6
797,52830,52832,6
798,52949,52949,0
799,52958,52997,6
800,53010,53015,6
801,53144,53149,0
802,53158,53197,6
803,53210,53216,6
804,53361,53369,0
805,53378,53401,6
806,53410,53417,6
807,53598,53609,0
808,53617,53717,6
809,53730,53732,6
810,53918,53929,0
811,53932,53958,6
812,53970,53977,6
813,54107,54109,0
814,54118,54157,5
815,54238,54284,0
816,54286,54327,6
817,54330,54337,6
818,54498,54537,5
819,54550,54550,6
820,54598,54637,6
821,54650,54651,6
